run,label,macro_em,micro_em,total_samples,response_tokens_mean,assistant_turns_mean_all_messages,retrieval_rounds_mean,search_queries_mean,parallel_factor_mean,parallel_sample_rate,multi_query_round_rate,zero_search_rate,no_answer_tag_rate,empty_output_rate
e10_step70_reference_evaluations,e10_step70_reference,0.40057142857142863,0.43251887658444166,51201,,,1.6295580164449912,2.12802484326478,1.3058908132078864,0.4364758500810531,,0.00031249389660358197,0.0074412609128727955,
e1a_step70_reference_evaluations,e1a_step70_reference,0.39842857142857147,0.43174686041288257,51201,,,1.597742231597039,2.103630788461163,1.3166271422634037,0.4412413820042577,,0.0002929630280658581,0.005683482744477647,
gap_step120_reference_evaluations,gap_step120_reference,0.411,0.44417013339583206,51201,,,1.853733325520986,2.34331360715611,1.2641050224942842,0.42292142731587273,,0.00033202476514130583,0.0062498779320716395,
gap_step180_reference_evaluations,gap_step180_reference,0.4167142857142857,0.4505729184976855,51201,,,1.9362512450928693,2.436495380949591,1.2583570376646696,0.42653463799535163,,0.0002539012909904103,0.006562371828675221,
gap_step60_reference_evaluations,gap_step60_reference,0.4007142857142857,0.43508025233882147,51201,,,1.5889338098865255,2.0922052303665946,1.3167352959252658,0.438604714751665,,0.00027343215952813424,0.005800667955703991,
step120_20260911_235134,e1b_step120,0.3947142857142857,0.4325352239214078,51201,,,1.2949747075252436,1.8748266635417277,1.4477708735521235,0.505732309915822,,0.00039061737075447747,0.0011718521122634324,
step120_20260913_165834,e1d_step120,0.4058571428571428,0.4385612585691686,51201,,,1.723364778031679,2.2314603230405656,1.294827625286158,0.43669068963496804,,0.0002148395539149626,0.0045506923692896625,
step70_20260913_024024,e1d_step70,0.3975714285714286,0.4333070447842815,51201,,,1.6236987558836742,2.1274389172086483,1.3102423768569196,0.43981562860100387,,0.00039061737075447747,0.007245952227495557,
